table_id,编  码,品目名称,说  明,品目类别
table_1,A02010699,其他机房辅助设备,,货物
table_1,A02010700,信息化设备零部件,,货物
table_1,A02019900,其他信息化设备,,货物
table_1,A02020000,办公设备,,货物
table_1,A02020100,复印机,,货物
table_1,A02020200,投影仪,用于测量、测绘等专用投影仪除外。,货物
table_1,A02020300,投影幕,,货物
table_1,A02020400,多功能一体机,具有多种办公功能的设备入此，例如带有打印功能的复印机等。,货物
table_1,A02020500,照相机及器材,,货物
table_1,A02020501,数字照相机,包括单反数码相机、卡片数码相机等。,货物
table_1,A02020502,通用照相机,包括便携式照相机、胶片照相机、盘片照相机、一次性(玩具)照相机座式照相机等。,货物
table_1,A02020503,静态视频照相机,,货物
table_1,A02020504,专用照相机,包括水下照相机、航空照相机、警用照相机等。,货物
table_1,A02020505,特殊照相机,包括高速照相机、遥控照相机、夜视照相机等。,货物
table_1,A02020506,镜头及器材,,货物
table_1,A02020599,其他照相机及器材,,货物
table_1,A02020600,执法记录仪,,货物
table_1,A02020700,电子白板,,货物
table_1,A02020800,触控一体机,包括室内型、户外型触摸屏/互动屏等。,货物
table_1,A02020900,刻录机,,货物
table_1,A02021000,打印机,,货物
table_1,A02021001,A3黑白打印机,,货物
table_1,A02021002,A3彩色打印机,,货物
table_1,A02021003,A4黑白打印机,,货物
table_1,A02021004,A4彩色打印机,,货物
table_1,A02021005,3D打印机,,货物
table_1,A02021006,票据打印机,,货物
table_1,A02021007,条码打印机,包括热敏型条码打印机、热转印型条码打印机等。,货物
table_1,A02021008,地址打印机,,货物
table_1,A02021099,其他打印机,,货物
table_1,A02021100,输入输出设备,,货物
table_1,A02021101,绘图设备,,货物
table_1,A02021102,光电设备,,货物
table_1,A02021103,LED显示屏,,货物
table_1,A02021104,液晶显示器,,货物
table_1,A02021105,阴极射线管显示器,,货物
table_1,A02021106,等离子显示器,,货物
table_1,A02021107,KVM 设备,,货物
table_1,A02021108,综合输入设备,,货物
table_1,A02021109,键盘,,货物
table_1,A02021110,鼠标器,,货物
table_1,A02021111,控制杆,,货物
table_1,A02021112,刷卡机,包括考勤机、POS机等。,货物
table_1,A02021113,纸带输入机,,货物
table_1,A02021114,磁卡读写器,,货物
table_1,A02021115,集成电路(IC)卡读写器,,货物
table_1,A02021116,非接触式智能卡读写机,包括身份证阅读机、一卡通读写器、门禁等。,货物
table_1,A02021117,触摸屏,,货物
table_1,A02021118,扫描仪,,货物
table_1,A02021119,条码扫描器,包括手持式条码扫描器、小滚筒式条码扫描器、平台式条码扫描器等。,货物
table_1,A02021120,高拍仪,,货物
table_1,A02021121,图形板,,货物
table_1,A02021122,光笔,,货物
table_1,A02021123,坐标数字化仪,,货物
table_1,A02021124,语音输入设备,包括语音识别器等。,货物
table_1,A02021125,手写式输入设备,包括手写笔等。,货物
table_1,A02021126,数据录入设备,包括数据采集器等。,货物
table_1,A02021199,其他输入输出设备,,货物
table_1,A02021200,文印设备,,货物
table_1,A02021201,速印机,,货物
table_1,A02021202,胶印机,,货物
table_1,A02021203,装订机,,货物
table_1,A02021204,配页机,,货物
table_1,A02021205,折页机,,货物
table_1,A02021206,油印机,包括蜡纸油印机等。,货物
table_1,A02021299,其他文印设备,,货物
table_1,A02021300,销毁设备,,货物
table_1,A02021301,碎纸机,,货物
table_1,A02021302,光盘粉碎机,,货物
table_1,A02021303,硬盘粉碎机,,货物
table_1,A02021304,芯片粉碎机,,货物
table_1,A02021305,综合销毁设备,,货物
table_1,A02021399,其他销毁设备,,货物
table_1,A02021400,会计机械,,货物
table_1,A02021401,计算器,包括简易型计算器、函数型计算器、可编程序计算器等。,货物
table_1,A02021499,其他会计机械,,货物
table_1,A02021500,制图机械,包括绘图机、制图机、晒图机等。,货物
table_1,A02021600,打字机,包括自动打字机、字处理机、电动打字机、非电动打字机等。,货物
table_1,A02021700,办公设备零部件,,货物
table_1,A02029900,其他办公设备,,货物
table_1,A02030000,车辆,,货物
table_1,A02030100,载货汽车,包括自卸汽车等。,货物
table_1,A02030200,牵引汽车,,货物
table_1,A02030201,半挂牵引汽车,,货物
table_1,A02030202,全挂牵引汽车,,货物
table_1,A02030203,特种牵引车,,货物
table_1,A02030299,其他牵引汽车,,货物
table_1,A02030300,汽车挂车,,货物
table_1,A02030400,汽车列车,,货物
table_1,A02030500,乘用车,,货物
table_1,A02030501,轿车,,货物
table_1,A02030502,越野车,,货物
table_1,A02030503,小型客车,车长小于6000mm且乘坐人数小于或等于9人的载客汽车。,货物
table_1,A02030504,中型客车,车长小于6000mm且乘坐人数为10~19人的载客汽车。,货物
table_1,A02030505,大型客车,车长大于或等于6000mm或者乘坐人数大于或等于20人的载客汽车。,货物
table_1,A02030599,其他乘用车,,货物
table_1,A02030600,专用车辆,,货物
table_1,A02030601,厢式专用汽车,,货物
table_1,A02030602,罐式专用汽车,,货物
table_1,A02030603,多用途货车,皮卡车归入此类。,货物
table_1,A02030604,集装箱运输车,,货物
table_1,A02030605,科学考察车,,货物
table_1,A02030606,工程作业车,,货物
table_1,A02030607,雪地专用车,包括雪地车、雪地拖拉机、雪地摩托车、雪橇。,货物
table_1,A02030608,校车,,货物
table_1,A02030609,消防车,包括灭火消防车、举高消防车、专勤消防车、战勤保障消防车、机场消防车、防爆消防车、轨道消防车、消防摩托车等。,货物
table_1,A02030610,警车,包括警用大、中、小型和专用型汽车，以及两轮摩托车和边三轮摩托。,货物
table_1,A02030611,布障车,,货物
table_1,A02030612,清障车,,货物
table_1,A02030613,排爆车,,货物
table_1,A02030614,装甲防暴车,,货物
table_1,A02030615,水炮车,,货物
table_1,A02030616,攀登车,,货物
table_1,A02030617,全地形车,,货物
table_1,A02030618,通信指挥车,,货物
table_1,A02030619,交通划线车,,货物
table_1,A02030620,防弹车,,货物
table_1,A02030621,医疗车,包括救护车等。,货物
table_1,A02030622,通信专用车,包括电视卫星转播车等。,货物
table_1,A02030623,抢险车,包括防汛应急抢险检测车、防汛抢险桥测车等。,货物
table_1,A02030624,殡仪车,,货物
table_1,A02030625,运钞专用车,包括运钞车、运钞护卫车等。,货物
table_1,A02030626,机动起重车,指汽车起重机。,货物
table_1,A02030627,垃圾车,,货物
table_1,A02030628,洒水车,,货物
table_1,A02030629,街道清洗清扫车,,货物
table_1,A02030630,除冰车,,货物
table_1,A02030631,扫雪车,,货物
table_1,A02030632,冷藏车,,货物
table_1,A02030633,炊事车,,货物
table_1,A02030634,公共汽车,,货物
table_1,A02030635,有轨电车,,货物
table_1,A02030636,轨道交通车辆,包括地铁、城铁客车等,货物
table_1,A02030699,其他专用车辆,,货物
table_1,A02030700,摩托车,,货物
table_1,A02030701,两轮摩托车,,货物
table_1,A02030702,三轮摩托车,包括正三轮摩托车、边三轮摩托车。,货物
table_1,A02030799,其他摩托车,,货物
table_1,A02030800,电动车辆,,货物
table_1,A02030801,电动两轮车,,货物
table_1,A02030802,电动三轮车,,货物
table_1,A02030803,电动多轮车,包括电动巡逻车、景区观光车。,货物
table_1,A02030899,其他电动车辆,,货物
table_1,A02030900,轮椅车,,货物
table_1,A02030901,机动轮椅车（残疾人摩托车）,,货物
table_1,A02030902,电动轮椅车（道路型）,,货物
table_1,A02030999,其他轮椅车,,货物
table_1,A02031000,非机动车辆,,货物
table_1,A02031001,人力车,包括脚踏车、助力脚踏车、手推车等,货物
table_1,A02031002,畜力车,,货物
table_1,A02031099,其他非机动车辆,,货物
table_1,A02031100,车辆附属设施及零部件,包括车身、底盘等。,货物
table_1,A02039900,其他车辆,,货物
table_1,A02040000,图书档案设备,,货物
table_1,A02040100,缩微设备,,货物
table_1,A02040101,缩微摄影机,,货物
table_1,A02040102,冲洗机,,货物
table_1,A02040103,拷贝机,,货物
table_1,A02040104,阅读器,,货物
table_1,A02040105,阅读复印机,,货物
table_1,A02040106,放大复印机,包括感光纸放大复印机、普通纸放大复印机等。,货物
table_1,A02040107,胶片装片机,包括普通缩微胶片装片机、缩微胶片阅读装片机等。,货物
table_1,A02040108,缩微品检索设备,包括卷式缩微品检索设备、片式缩微品检索设备等。,货物
table_1,A02040109,胶片剪接设备,,货物
table_1,A02040110,胶片洁片设备,,货物
table_1,A02040111,缩微胶片扫描仪,,货物
table_1,A02040199,其他缩微设备,,货物
table_1,A02040200,图书档案消毒设备,,货物
table_1,A02040201,物理方法消毒设备,,货物
table_1,A02040202,化学方法消毒设备,,货物
table_1,A02040299,其他图书档案消毒设备,,货物
table_1,A02040300,图书档案保护设备,包括脱酸机等图书档案保护、修复设备。,货物
table_1,A02040400,图书档案设备的零部件,,货物
table_1,A02049900,其他图书档案设备,,货物
table_1,A02050000,机械设备,,货物
table_1,A02050100,内燃机,,货物
table_1,A02050101,柴油内燃机,包括活塞式柴油内燃机、压燃式柴油内燃机、汽车用柴油内燃机等。,货物
table_1,A02050102,汽油内燃机,包括活塞式汽油内燃机、压燃式汽油内燃机、汽车用汽油内燃机等。,货物
table_1,A02050103,气体燃料内燃机,包括活塞式气体燃料内燃机、压燃式气体燃料内燃机、汽车用气体燃料内燃机等。,货物
table_1,A02050199,其他内燃机,,货物
table_1,A02050200,燃气轮机,包括发电用燃气轮机、驱动用燃气轮机、燃气-蒸汽联合循环装置、航空衍生型燃气轮机等。,货物
table_1,A02050300,汽轮机,包括工业汽轮机、地热利用汽轮机等，电站汽轮机纳入“电力工业设备”。,货物
table_1,A02050400,锅炉,,货物
table_1,A02050401,工业锅炉,包括常压蒸汽锅炉、承压蒸汽锅炉、高温热水锅炉、工业用热水锅炉、余热锅炉等。,货物
table_1,A02050402,民用锅炉,,货物
table_1,A02050499,其他锅炉,,货物
table_1,A02050500,水轮机,包括轴流式水轮机、混流式水轮机、水斗式水轮机、贯流式水轮机、斜流式水轮机、双击式水轮机、斜击式水轮机、特殊水轮机、水轮等。,货物
table_1,A02050600,风力机,包括水平轴风力机、垂直轴风力机、斜轴风力机等。,货物
table_1,A02050700,潮汐动力机械,,货物
table_1,A02050800,液压机械,,货物
table_1,A02050801,液压缸,包括单作用液压缸 、双作用液压缸等。,货物
table_1,A02050802,液压泵,,货物
table_1,A02050803,液压阀,包括溢流阀、分流阀、集流阀、液压节流阀、液压截止阀、液压减压阀、卸荷阀、顺序阀、平衡阀、调速阀、电液伺服阀、单向阀、换向阀等。,货物
table_1,A02050804,液压马达,包括齿轮马达、摆线马达、叶片马达、螺杆马达、柱塞马达、球塞马达、内曲线马达、摆动马达等。,货物
table_1,A02050805,液压管件,,货物
table_1,A02050806,液力变矩器,,货物
table_1,A02050807,液压元件,,货物
table_1,A02050899,其他液压机械,,货物
table_1,A02050900,金属加工设备,,货物
table_1,A02050901,金属切削机床,包括数控车床、非数控车床等。,货物
table_1,A02050902,锻压机械设备,包括机械压力机、液压机、自动锻压机等。,货物
table_1,A02050903,铸造设备,包括锤、锻机、剪切机、弯曲校正机、锻造操作机等。,货物
table_1,A02050904,增材制造设备,包括金属增材制造装备、非金属增材制造装备等。,货物
table_1,A02050905,工业机械手,包括气动机械手、液压机械手、电动机械手等。,货物
table_1,A02050906,工业机器人,包括焊接机器人、冲压机器人、铸锻机器人、喷涂机器人、搬运机器人、装配机器人、多功能工业机器人等。,货物
table_1,A02050907,热处理设备,包括感应热处理机床等。,货物
table_1,A02050908,金属切割设备,包括数控气割设备、光电跟踪切割设备、普通气割设备等。,货物
table_1,A02050909,金属焊接设备,包括埋弧焊机、TIG 焊机、MIG/MAG 焊机、电渣焊机、点焊机、凸焊机、缝焊机、对焊机、等离子电子束焊接设备、超声波焊机、电子束焊机、光束焊机、冷压焊机、摩擦焊机、钎焊机、高频焊机、电渣压焊机、螺柱焊机、碳弧气刨机等。,货物
table_1,A02050910,金属表面处理设备,,货物
table_1,A02050911,金属喷涂设备,,货物
table_1,A02050912,粉末冶金设备,包括粉末冶金模 、粉末冶金制品等。,货物
table_1,A02050913,通用工业窑炉,,货物
table_1,A02050999,其他金属加工设备,,货物
table_1,A02051000,塑料压制液压机,包括塑料制品液压机、磁性材料液压机、超硬材料压制液压机等。,货物
table_1,A02051100,成板机械,包括木碎料板或木纤维板的挤压机、人造板层压液压机、横截锯等。,货物
table_1,A02051200,起重设备,,货物
table_1,A02051201,轻小型起重设备,起重用葫芦入此。,货物
table_1,A02051202,桥式起重机,包括梁式起重机、吊钩桥式起重机、抓斗桥式起重机、电磁桥式起重机、二用桥式起重机、三用桥式起重机等。,货物
table_1,A02051203,门式起重机,包括吊钩门式起重机、抓斗门式起重机、电磁门式起重机、二用门式起重机、三用门式起重机等。,货物
table_1,A02051204,半门式起重机,,货物
table_1,A02051205,浮式起重机,,货物
table_1,A02051206,缆索起重机,架空索道、登山缆车归入“A02051314 架空索道输送设备”。,货物
table_1,A02051207,门座式起重机,不包括港口门座式起重机。,货物
table_1,A02051208,港口门座式起重机,,货物
table_1,A02051209,塔式起重机,包括固定式塔式起重机、移动式塔式起重机等。,货物
table_1,A02051210,冶金起重机,,货物
table_1,A02051211,铁路起重机,,货物
table_1,A02051212,流动式起重机,不包括汽车起重机。,货物
table_1,A02051213,甲板起重机,,货物
table_1,A02051214,桅杆起重机,,货物
table_1,A02051215,悬臂起重机,包括柱式悬臂起重机、壁上起重机、自行车式起重机等。,货物
table_1,A02051216,平衡式起重机,,货物
table_1,A02051217,起重滑车,包括单轮滑车、双轮滑车、三轮滑车等。,货物
table_1,A02051218,起重葫芦,包括手动葫芦、电动葫芦、气动葫芦等，不包括轻小型起重葫芦。,货物
table_1,A02051219,绞车和绞盘,包括手动绞车、内燃机绞车、绞盘、电动绞车等。,货物
table_1,A02051220,千斤顶,包括齿条千斤顶、液压千斤顶、螺旋千斤顶等。,货物
table_1,A02051221,悬挂单轨系统,,货物
table_1,A02051222,移动式吊运架,,货物
table_1,A02051223,跨运车,,货物
table_1,A02051224,升船机,,货物
table_1,A02051225,滑模顶升机,包括滑模液压顶升机等。,货物
table_1,A02051226,起重用吊斗、铲、抓斗和夹钳,,货物
table_1,A02051227,电梯,包括载人电梯、载货电梯、载人、载货两用电梯、消防电梯等。,货物
table_1,A02051228,自动扶梯,包括普通型自动扶梯、公共交通型自动扶梯等。,货物
table_1,A02051229,自动人行道,包括踏板式自动人行道、胶带式自动人行道等。,货物
table_1,A02051299,其他起重设备,,货物
table_1,A02051300,输送设备,,货物
table_1,A02051301,带式输送机械,包括固定式带式输送机、移动带式输送机、移置带式输送机、大倾角带式输送机、钢丝牵引带式输送机、气垫带式输送机、磁垫带式输送机、钢带输送机、钢丝网带输送机、吊挂带式输送机、水平转弯带式输送机、可伸缩带式输送机、链牵引带式输送机、管状带式输送机、吊挂管状带式输送机、带式抛料机等。,货物
table_1,A02051302,气动输送机,包括吸送式气力输送机、压送式气力输送机、混合式气力输送机、容器式管道输送设备、气力输送槽等。,货物
table_1,A02051303,螺旋输送机,包括固定螺旋输送机、移动螺旋输送机、特殊螺旋输送机等。,货物
table_1,A02051304,刮板输送机,包括普通刮板输送机、可弯曲刮板输送机、普通型埋刮板输送机等。,货物
table_1,A02051305,埋刮板输送机,包括特殊型埋刮板输送机等。,货物
table_1,A02051306,板式输送机,包括固定板式输送机、移动板式输送机、携带式板式输送机等。,货物
table_1,A02051307,悬挂输送机,包括推式悬挂输送机、拖式悬挂输送机、电动单轨小车悬挂输送机等。,货物
table_1,A02051308,牵引链输送机械,包括链式输送机、链式小车输送机等。,货物
table_1,A02051309,斗式提升输送机,包括垂直斗式提升机、倾斜斗式提升机、内斗式提升机等。,货物
table_1,A02051310,液力输送机,,货物
table_1,A02051311,振动输送机,包括惯性振动输送机、偏心连杆振动输送机、电磁式振动输送机等。,货物
table_1,A02051312,辊子输送机,包括无动力式辊子输送机、动力式辊子输送机等。,货物
table_1,A02051313,升运机,包括施工升降机、升降台(车) 、料斗升降机等。,货物
table_1,A02051314,架空索道输送设备,包括货运架空索道、客运架空索道等。,货物
table_1,A02051315,机场输送设备,包括旅客登机桥、机场用行李运输机械、机场用行李装卸机械等。,货物
table_1,A02051316,集装箱,,货物
table_1,A02051317,集装箱输送设备,,货物
table_1,A02051318,输送管道,输水管道、输尾矿管道及管道输送设施入此，不包括输油管道、输气管道。,货物
table_1,A02051319,斜坡绞车,,货物
table_1,A02051399,其他输送设备,,货物
table_1,A02051400,给料设备,包括圆盘给料机、板式给料机、刮板给料机、埋刮板给料机、鳞板给料机、叶轮给料机、螺旋给料机、带式给料机、转动滚子给料机、耙式给料机、链式给料机、振动给料机、摆式给料机、重力式给料机、搅拌给料机、往复式给料机等。,货物
table_1,A02051500,装卸设备,,货物
table_1,A02051501,堆取机械,包括斗轮式堆取机械、刮板式堆取机械等。,货物
table_1,A02051502,装船机,包括散状物料装船机、成件物品装船机等。,货物
table_1,A02051503,装车机,包括散状物料装车机、成件物品装车机等。,货物
table_1,A02051504,卸船机,包括链斗卸船机、螺旋卸船机、气力卸船机、绳斗卸船机、斗轮卸船机、抓斗卸船机、刮板卸船机、夹带式卸船机等。,货物
table_1,A02051505,卸车机,包括链斗卸车机、螺旋卸车机、气力卸车机、惯性卸车机等。,货物
table_1,A02051506,翻车机,包括转筒式翻车机、侧卸式翻车机、端卸式翻车机、复合式翻车机等。,货物
table_1,A02051507,原料混匀机,,货物
table_1,A02051599,其他装卸设备,,货物
table_1,A02051600,仓储设备,,货物
table_1,A02051601,立体仓库设备,,货物
table_1,A02051699,其他仓储设备,包括堆垛机巷道转轨车、分配车等，不包括金属货架、起重机(包括堆垛起重机)。,货物
table_1,A02051700,机械立体停车设备,,货物
table_1,A02051800,气垫搬运装置,包括无牵引气垫搬运装置、牵引式气垫搬运装置等。,货物
table_1,A02051900,泵,,货物
table_1,A02051901,离心泵,包括清水离心泵、耐腐蚀离心泵、离心油泵、船舶用离心泵、污水泵、带悬浮颗粒的杂质泵、离心式低温液体泵、潜没式泵等。,货物
table_1,A02051902,混流泵,包括涡壳式混流泵、导叶式混流泵等。,货物
table_1,A02051903,轴流泵,包括卧式轴流泵、立式轴流泵、斜式轴流泵、贯流泵等。,货物
