关键词,编码,品目名称
离心式风机,A02052001,离心式风机
轴流风机,A02052002,轴流风机
螺杆式风机,A02052003,螺杆式风机
其他风机,A02052099,其他风机
气体压缩机,A02052100,气体压缩机
离心式压缩机,A02052101,离心式压缩机
轴（混）流式压缩机,A02052102,轴（混）流式压缩机
往复式压缩机,A02052103,往复式压缩机
螺杆式压缩机,A02052104,螺杆式压缩机
刮板式压缩机,A02052105,刮板式压缩机
液环压缩机,A02052106,液环压缩机
其他气体压缩机,A02052199,其他气体压缩机
气体分离及液化设备,A02052200,气体分离及液化设备
空气分离设备,A02052201,空气分离设备
稀有气体提取设备,A02052202,稀有气体提取设备
工业气体分离设备,A02052203,工业气体分离设备
气体液化设备,A02052204,气体液化设备
车装气体分离设备,A02052205,车装气体分离设备
其他气体分离及液化设备,A02052299,其他气体分离及液化设备
制冷空调设备,A02052300,制冷空调设备
制冷压缩机,A02052301,制冷压缩机
冷库制冷设备,A02052302,冷库制冷设备
冷藏箱柜,A02052303,冷藏箱柜
制冰设备,A02052304,制冰设备
空调机组,A02052305,空调机组
恒温机、恒温机组,A02052306,恒温机、恒温机组
去湿机组,A02052307,去湿机组
加湿机组,A02052308,加湿机组
专用制冷空调设备,A02052309,专用制冷空调设备
其他制冷空调设备,A02052399,其他制冷空调设备
真空获得及应用设备,A02052400,真空获得及应用设备
真空获得设备,A02052401,真空获得设备
真空应用设备,A02052402,真空应用设备
真空检测设备,A02052403,真空检测设备
真空系统附件,A02052404,真空系统附件
其他真空获得及应用设备,A02052499,其他真空获得及应用设备
分离及干燥设备,A02052500,分离及干燥设备
离心机,A02052501,离心机
分离机,A02052502,分离机
过滤机,A02052503,过滤机
萃取机,A02052504,萃取机
搅拌机械,A02052505,搅拌机械
浓缩机械,A02052506,浓缩机械
干燥机械,A02052507,干燥机械
其他分离及干燥设备,A02052599,其他分离及干燥设备
减速机及传动装置,A02052600,减速机及传动装置
摆线针轮减速机,A02052601,摆线针轮减速机
行星减速机,A02052602,行星减速机
圆柱齿轮减速机,A02052603,圆柱齿轮减速机
圆锥齿轮减速器,A02052604,圆锥齿轮减速器
蜗轮蜗杆减速器,A02052605,蜗轮蜗杆减速器
无级变速器,A02052606,无级变速器
液力耦合器,A02052607,液力耦合器
其他减速机及传动装置,A02052699,其他减速机及传动装置
飞轮和皮带轮,A02052700,飞轮和皮带轮
离合器,A02052800,离合器
联轴器,A02052900,联轴器
铰接链条,A02053000,铰接链条
包装机械,A02053100,包装机械
充填机械,A02053101,充填机械
灌装机械,A02053102,灌装机械
封口机械,A02053103,封口机械
容器成型包装机械,A02053104,容器成型包装机械
裹包机械,A02053105,裹包机械
捆扎打包机械,A02053106,捆扎打包机械
集合装箱机械,A02053107,集合装箱机械
真空包装机械,A02053108,真空包装机械
容器清洗机械,A02053109,容器清洗机械
容器消毒机械,A02053110,容器消毒机械
容器干燥机械,A02053111,容器干燥机械
贴标签机械,A02053112,贴标签机械
包装计量机械,A02053113,包装计量机械
多功能包装机械,A02053114,多功能包装机械
辅助包装机械,A02053115,辅助包装机械
包装用软管制造机械,A02053116,包装用软管制造机械
饮料充气机,A02053117,饮料充气机
其他包装机械,A02053199,其他包装机械
植物等有机物粉碎选别设备,A02053200,植物等有机物粉碎选别设备
粉碎机,A02053201,粉碎机
研磨机,A02053202,研磨机
分选机,A02053203,分选机
筛分设备,A02053204,筛分设备
其他植物等有机物粉碎选别设备,A02053299,其他植物等有机物粉碎选别设备
电动及小型台式工具,A02053300,电动及小型台式工具
机械设备零部件,A02053400,机械设备零部件
其他机械设备,A02059900,其他机械设备
电气设备,A02060000,电气设备
发电机,A02060101,发电机
直流电机,A02060102,直流电机
无刷直流电机,A02060103,无刷直流电机
交流电机,A02060104,交流电机
交直流两用电机,A02060105,交直流两用电机
直线电机,A02060106,直线电机
步进电机,A02060107,步进电机
传感电机,A02060108,传感电机
开关磁阻电机,A02060109,开关磁阻电机
移相器,A02060110,移相器
潜水电泵,A02060111,潜水电泵
其他电机,A02060199,其他电机
变压器,A02060200,变压器
调压器,A02060300,调压器
变频设备,A02060400,变频设备
电抗器,A02060500,电抗器
互感器,A02060600,互感器
避雷器,A02060700,避雷器
整流器,A02060800,整流器
镇流器,A02060900,镇流器
半导体逆变设备,A02061000,半导体逆变设备
半导体直、变流设备,A02061100,半导体直、变流设备
高压输变电用变流设备,A02061200,高压输变电用变流设备
牵引用变流器,A02061300,牵引用变流器
电机调速用半导体变流设备,A02061400,电机调速用半导体变流设备
电源设备,A02061500,电源设备
稳压电源,A02061501,稳压电源
稳流电源,A02061502,稳流电源
稳频电源,A02061503,稳频电源
不间断电源,A02061504,不间断电源
多用电源,A02061505,多用电源
变频器,A02061506,变频器
充电机,A02061507,充电机
直流电源,A02061508,直流电源
交流电源,A02061509,交流电源
原电池和原电池组,A02061510,原电池和原电池组
蓄电池及充电装置,A02061511,蓄电池及充电装置
电池及能源系统,A02061512,电池及能源系统
其他电源设备,A02061599,其他电源设备
电容器,A02061600,电容器
生产辅助用电器,A02061700,生产辅助用电器
电阻器,A02061701,电阻器
变阻器,A02061702,变阻器
开关电器设备,A02061703,开关电器设备
断路器,A02061704,断路器
控制器,A02061705,控制器
接触器,A02061706,接触器
起动器,A02061707,起动器
电继电器,A02061708,电继电器
控制继电器,A02061709,控制继电器
保护继电器,A02061710,保护继电器
开关柜,A02061711,开关柜
控制设备,A02061712,控制设备
配电屏,A02061713,配电屏
配电箱,A02061714,配电箱
端子箱,A02061715,端子箱
保护屏,A02061716,保护屏
同期屏,A02061717,同期屏
故障录波屏,A02061718,故障录波屏
电容器柜,A02061719,电容器柜
电容器箱,A02061720,电容器箱
受电箱,A02061721,受电箱
受电屏,A02061722,受电屏
熔断器,A02061723,熔断器
电缆桥架,A02061724,电缆桥架
插头插座和耦合器,A02061725,插头插座和耦合器
接线盒和端子,A02061726,接线盒和端子
电源插座和转换器,A02061727,电源插座和转换器
其他生产辅助用电器,A02061799,其他生产辅助用电器
生活用电器,A02061800,生活用电器
电冰箱,A02061801,电冰箱
通风机,A02061803,通风机
空调机,A02061804,空调机
空气滤洁器,A02061805,空气滤洁器
空气净化设备,A02061806,空气净化设备
排烟系统,A02061807,排烟系统
取暖器,A02061808,取暖器
调湿调温机,A02061809,调湿调温机
洗衣机,A02061810,洗衣机
吸尘器,A02061811,吸尘器
洗碗机,A02061812,洗碗机
厨房电动废物处理器,A02061813,厨房电动废物处理器
泔水处理器,A02061814,泔水处理器
熨烫电器,A02061815,熨烫电器
烹调电器,A02061816,烹调电器
食品制备电器,A02061817,食品制备电器
饮水器,A02061818,饮水器
热水器,A02061819,热水器
美容电器,A02061820,美容电器
保健器具,A02061821,保健器具
电热卧具、服装,A02061822,电热卧具、服装
其他生活用电器,A02061899,其他生活用电器
照明设备,A02061900,照明设备
建筑用灯具,A02061902,建筑用灯具
车、船用灯,A02061903,车、船用灯
水下照明灯,A02061904,水下照明灯
民用机场灯具,A02061905,民用机场灯具
防爆灯具,A02061906,防爆灯具
农业用灯具,A02061907,农业用灯具
室内照明灯具,A02061908,室内照明灯具
场地用灯,A02061909,场地用灯
移动照明灯塔,A02061911,移动照明灯塔
除害虫用灯,A02061912,除害虫用灯
应急照明灯,A02061913,应急照明灯
体育比赛用灯,A02061914,体育比赛用灯
手电筒,A02061915,手电筒
发光标志、铭牌,A02061916,发光标志、铭牌
摄影专用灯,A02061917,摄影专用灯
其他照明设备,A02061999,其他照明设备
电气机械设备,A02062000,电气机械设备
工业电热设备（电炉）,A02062001,工业电热设备（电炉）
电气物理设备,A02062002,电气物理设备
电动工具,A02062003,电动工具
换能器,A02062004,换能器
其他电气机械设备,A02062099,其他电气机械设备
绝缘电线和电缆,A02062100,绝缘电线和电缆
电气设备零部件,A02062300,电气设备零部件
其他电气设备,A02069900,其他电气设备
雷达、无线电和卫星导航设备,A02070000,雷达、无线电和卫星导航设备
地面雷达,A02070100,地面雷达
地面导航雷达,A02070101,地面导航雷达
航空管理雷达,A02070102,航空管理雷达
港口交通管制雷达,A02070103,港口交通管制雷达
地面交通管制雷达,A02070104,地面交通管制雷达
地面气象雷达,A02070105,地面气象雷达
地面测量雷达,A02070106,地面测量雷达
地面对空监视雷达,A02070107,地面对空监视雷达
地面对海监视雷达,A02070108,地面对海监视雷达
地面目标指示雷达,A02070109,地面目标指示雷达
低空补盲雷达,A02070110,低空补盲雷达
地面跟踪雷达,A02070111,地面跟踪雷达
精密进场雷达,A02070112,精密进场雷达
地面二次雷达,A02070113,地面二次雷达
双/多基地雷达,A02070114,双/多基地雷达
超视距雷达,A02070115,超视距雷达
无源雷达,A02070116,无源雷达
地面相控阵雷达,A02070117,地面相控阵雷达
其他地面雷达,A02070199,其他地面雷达
机载雷达,A02070200,机载雷达
航行雷达,A02070201,航行雷达
多普勒导航雷达,A02070202,多普勒导航雷达
机载着陆雷达,A02070203,机载着陆雷达
数传导航雷达,A02070204,数传导航雷达
机载气象雷达,A02070205,机载气象雷达
机载对空监视雷达,A02070206,机载对空监视雷达
机载对海监视雷达,A02070207,机载对海监视雷达
机载地形测绘雷达,A02070208,机载地形测绘雷达
机载地质勘探雷达,A02070209,机载地质勘探雷达
机载测高雷达,A02070210,机载测高雷达
机载防撞雷达,A02070211,机载防撞雷达
机载雷达信标机,A02070212,机载雷达信标机
机载跟踪雷达,A02070213,机载跟踪雷达
地形回避与地形跟随雷达,A02070214,地形回避与地形跟随雷达
机载测量雷达,A02070215,机载测量雷达
机载资源勘探雷达,A02070216,机载资源勘探雷达
机载二次雷达,A02070217,机载二次雷达
机载相控阵雷达,A02070218,机载相控阵雷达
机载合成孔径雷达,A02070219,机载合成孔径雷达
其他机载雷达,A02070299,其他机载雷达
舰船载雷达,A02070300,舰船载雷达
舰船导航雷达,A02070301,舰船导航雷达
舰船气象雷达,A02070302,舰船气象雷达
船载对空监视雷达,A02070303,船载对空监视雷达
船载对海监视雷达,A02070304,船载对海监视雷达
船载目标指示雷达,A02070305,船载目标指示雷达
船载引导雷达,A02070306,船载引导雷达
船载航空管制雷达,A02070307,船载航空管制雷达
船载二次雷达,A02070308,船载二次雷达
船载相控阵雷达,A02070309,船载相控阵雷达
船载航运管制雷达,A02070310,船载航运管制雷达
船载测量雷达,A02070311,船载测量雷达
其他舰船载雷达,A02070399,其他舰船载雷达
雷达配套设备,A02070400,雷达配套设备
雷达地面天线,A02070401,雷达地面天线
雷达训练器,A02070402,雷达训练器
雷达图像传输设备,A02070403,雷达图像传输设备
雷达显示设备,A02070404,雷达显示设备
雷达车厢,A02070405,雷达车厢
雷达发电机组,A02070406,雷达发电机组
其他雷达配套设备,A02070499,其他雷达配套设备
星载雷达,A02070500,星载雷达
气球载雷达,A02070600,气球载雷达
雷达维修备件,A02070700,雷达维修备件
机载无线电导航设备,A02070800,机载无线电导航设备
信标接收机,A02070801,信标接收机
无线电罗盘,A02070802,无线电罗盘
机载着陆设备,A02070803,机载着陆设备
近程导航机载设备,A02070804,近程导航机载设备
机载无线电高度表,A02070805,机载无线电高度表
其他机载无线电导航设备,A02070899,其他机载无线电导航设备
地面航空无线电导航设备,A02070900,地面航空无线电导航设备
定向设备,A02070901,定向设备
导航机,A02070902,导航机
航标发射机,A02070903,航标发射机
近程导航系统地面设备,A02070904,近程导航系统地面设备
微波仪表着陆地面设备,A02070905,微波仪表着陆地面设备
其他地面航空无线电导航设备,A02070999,其他地面航空无线电导航设备
机动定向导航设备,A02071000,机动定向导航设备
机动定向设备,A02071001,机动定向设备
机动导航设备,A02071002,机动导航设备
其他机动定向导航设备,A02071099,其他机动定向导航设备
舰船载无线电导航设备,A02071100,舰船载无线电导航设备
舰船载导航接收机,A02071101,舰船载导航接收机
舰船载无线电测向机,A02071102,舰船载无线电测向机
舰船载无线电示位标,A02071103,舰船载无线电示位标
其他舰船载无线电导航设备,A02071199,其他舰船载无线电导航设备
地面舰船无线电导航设备,A02071200,地面舰船无线电导航设备
卫星定位导航设备,A02071300,卫星定位导航设备
卫星遥感设备,A02071400,卫星遥感设备
雷达和无线电导航设备零部件,A02071500,雷达和无线电导航设备零部件
其他雷达和无线电导航设备,A02079900,其他雷达和无线电导航设备
通信设备,A02080000,通信设备
无线电通信设备,A02080100,无线电通信设备
通用无线电通信设备,A02080101,通用无线电通信设备
移动通信（网）设备,A02080102,移动通信（网）设备
航空无线电通信设备,A02080103,航空无线电通信设备
舰船无线电通信设备,A02080104,舰船无线电通信设备
铁道无线电通信设备,A02080105,铁道无线电通信设备
邮电无线电通信设备,A02080106,邮电无线电通信设备
气象通信无线电通信设备,A02080107,气象通信无线电通信设备
无线电反制设备,A02080108,无线电反制设备
其他无线电通信设备,A02080199,其他无线电通信设备
接力通信系统设备,A02080200,接力通信系统设备
超短波接力通信设备,A02080201,超短波接力通信设备
模拟微波接力通信设备,A02080202,模拟微波接力通信设备
数字微波接力通信设备,A02080203,数字微波接力通信设备
电视微波接力设备,A02080204,电视微波接力设备
其他接力通信系统设备,A02080299,其他接力通信系统设备
散射通信设备,A02080300,散射通信设备
散射通信机,A02080301,散射通信机
散射通信配套设备,A02080302,散射通信配套设备
